PatientID,Age,Gender,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome,PatientName,Email,SSN,Phone,Address,BirthDate,CreditCard
1,59,Female,5,147.7,118.1,30.1,111.6,26.1,2.38,0,Chad Brown,phillipsann@example.com,395-29-9559,(873)364-4198,"903 Stone Locks, Jenniferside, NJ 36778",1969-03-24,180083779279353
2,72,Male,3,182.6,86.3,17.3,208.3,32.3,1.6,1,Michael Ramirez,iford@example.org,808-84-3918,995.737.9028,"Unit 9039 Box 4520, DPO AA 63205",1978-03-06,584948229524
3,49,Male,11,193.1,93.0,33.0,219.7,29.0,2.06,1,Aaron Hall,jenkinsrichard@example.net,601-27-2900,+1-800-351-8469,"96240 Lee Lane, South Brittanyview, PA 73450",1937-12-03,4605232987414
4,35,Male,13,83.8,66.6,35.5,214.2,25.4,1.67,0,Beth Myers,melissa14@example.com,167-20-2246,4533858688,"34526 Alex Causeway, North Vincent, SD 23356",1952-04-22,3551147562413597
5,63,Male,10,90.1,83.8,32.3,203.6,21.5,2.11,1,Michael Richardson,richard03@example.net,929-15-2233,317-916-6554,"6154 Jeremy Shores Apt. 028, East Teresa, AR 69962",1952-09-04,4905356575576722075
6,28,Male,12,192.8,80.0,39.5,68.4,40.1,2.37,1,Christopher Elliott,brownsylvia@example.net,597-41-8612,001-395-732-0287x070,"967 Joseph Crest, West Daleview, VA 87963",1967-04-04,3543523631207858
7,41,Female,8,165.7,55.2,23.4,103.2,44.9,0.76,1,Mary Russell,luis34@example.org,490-99-1728,+1-696-908-9122x67700,"83421 Nichols Way Apt. 087, Millerfort, ND 37921",1955-10-28,4582870176279259
8,59,Female,7,184.8,57.4,40.6,137.6,26.9,0.51,1,Daniel Castillo,brusso@example.net,714-48-2577,(940)729-4069x070,"9285 Hines Street Suite 038, Michaelmouth, OK 57526",1987-06-09,4716241909045673
9,78,Female,9,96.3,108.6,27.3,101.3,28.3,1.26,1,Megan Mckenzie DDS,vatkins@example.com,311-16-4863,451-772-5853,"508 Miller Lake Suite 821, Lisaside, NV 71535",1955-01-23,180057510198023
10,39,Male,11,146.4,66.8,29.4,212.0,34.7,1.78,0,Charles Hall,millersherry@example.net,519-48-4850,+1-577-340-1656x7818,"37369 Jessica Harbors Suite 677, North Jessica, IL 40360",1964-07-16,4627666741971165
11,43,Female,9,161.1,63.6,35.9,101.0,37.4,0.65,0,Joseph Jenkins,diana29@example.net,433-62-9080,8803339087,"779 Lowe Green, Brianberg, AL 44090",1999-02-09,3520734626761232
12,31,Male,0,158.4,85.3,10.7,51.1,28.6,0.11,0,Jesse Guerra,vwright@example.net,850-77-7206,001-737-950-2136x604,"USS Miranda, FPO AE 66589",1998-02-25,38575005514119
13,31,Male,14,123.1,103.8,36.2,119.1,42.4,0.92,0,David Mays,jordandaniel@example.net,107-61-5250,(428)213-7650x8848,"09544 Caleb Burgs, Meganstad, PA 79928",1978-12-05,180077523644953
14,44,Male,1,72.0,54.3,34.7,270.8,33.1,2.43,0,Stephen Clark,paulkendra@example.org,761-61-3986,7819079078,"06742 Derrick Islands Suite 018, Port Amandaview, MO 53297",1973-08-05,2578176362117307
15,73,Male,8,145.8,90.4,22.4,74.0,30.2,1.77,1,Anita Pham,ngomez@example.net,795-12-2986,482-507-9513x5555,"USNV Townsend, FPO AP 03912",1943-01-31,346425010501882
16,56,Female,7,102.9,58.3,13.4,174.8,35.5,1.06,1,Allen Allen,kristineandersen@example.org,656-21-4237,(875)403-8597x3889,"8420 Eric Island Suite 184, Amandamouth, WV 86347",1962-11-24,30196375440666
17,60,Female,13,128.5,52.6,13.6,128.0,43.7,0.56,1,Michelle Pace,pateleric@example.org,797-83-9925,723-675-4707,"7998 Victoria Pass Suite 338, New Ritachester, GU 67438",1948-11-05,180050177237317
18,44,Male,2,194.5,53.7,46.9,33.5,39.5,0.95,1,Sarah Miller,tgray@example.net,200-32-5358,+1-241-821-6042,"93943 Jackson Curve, Stonemouth, AL 80896",1999-02-15,4132778535846
19,23,Female,7,121.9,108.4,37.6,142.3,19.1,0.51,1,Stephanie Scott,jeremy57@example.com,710-63-9945,327.495.0479x93767,"521 Jeffrey View Suite 314, Harrisonton, OK 03228",1970-01-17,30007854644209
20,42,Male,11,179.2,58.3,15.1,198.3,27.0,0.36,1,Bryan Johnson,harrisangela@example.org,340-82-2767,+1-810-226-7593x8820,"1966 Salas Radial Apt. 237, Port Joe, NM 80629",1952-07-10,2241508932966044
21,73,Female,0,94.5,53.2,24.3,149.0,30.7,2.28,1,Jordan Walker,donaldallen@example.net,861-24-1740,001-693-205-2038x206,"USNS Richards, FPO AE 46983",1944-03-07,4473960760788
22,22,Female,9,157.4,80.7,33.7,242.6,26.5,2.49,1,Nathan Keller,sotoelizabeth@example.com,169-34-2120,(267)450-5736,"652 Robles Port, East Dawn, LA 09734",1977-12-25,4289221052765217
23,44,Male,3,197.0,109.1,43.4,90.4,36.9,0.49,1,Aaron Cain,bassandre@example.com,247-32-3572,382-607-3404x0310,"982 Leslie Junction, West Justin, WI 62110",1964-05-01,3533633983682319
24,64,Female,2,83.2,68.4,11.7,37.5,40.3,0.23,1,Tony Jones,jessica21@example.net,744-95-7050,(565)909-7770,"Unit 8424 Box 3305, DPO AP 28623",1972-06-17,6011817934569063
25,50,Male,5,71.1,79.5,19.5,259.4,37.7,0.89,1,Cheyenne Jackson,ythompson@example.org,280-39-1036,582.289.3851x29611,"07476 Johnson Stream, East Franklintown, PA 17784",1964-01-25,4698791759261574
26,58,Female,6,126.4,52.8,45.6,113.7,44.7,1.21,1,Danielle Conway,brownholly@example.org,406-75-7979,+1-479-550-0064,"116 Hernandez Locks, South Scottton, NE 16098",1980-02-08,4029460586213238
27,22,Male,3,82.0,81.4,10.4,165.4,25.4,0.59,1,Jacqueline Sanders,nicolesantiago@example.org,438-17-6920,+1-518-346-4872x65006,"105 Moore Wall, Laurenfort, PW 11172",1961-09-06,4716335984815412
28,80,Male,6,167.3,90.4,18.1,221.7,41.6,0.82,0,Michelle Meza,kbell@example.com,485-76-7818,9394174240,"8880 Daniels Cape Apt. 405, Bryanttown, WI 58682",1953-06-07,4080508225052866
29,41,Female,8,188.9,90.0,48.4,99.6,38.7,0.58,1,Brittney Sanchez,wallssteven@example.com,929-99-1394,(241)213-4236x18283,"8616 Cindy Isle Suite 407, South Shane, ID 03001",1968-01-22,30397912725839
30,53,Female,10,126.4,73.3,34.5,201.9,27.8,1.96,0,Martha Hughes,alejandronorris@example.net,983-27-8335,001-700-239-1296x50835,"354 Chan Views, Huffhaven, NH 79906",1986-11-21,4987776788782
